value,name
http://dbpedia.org/resource/Claudia_Gray,Claudia Gray
http://dbpedia.org/resource/Daniel_Scott_(writer),Daniel Scott
http://dbpedia.org/resource/David_Crouse,David Crouse
http://dbpedia.org/resource/David_Grann,David Grann
http://dbpedia.org/resource/Dawn-Michelle_Baude,Dawn-Michelle Baude
http://dbpedia.org/resource/Douglas_Rushkoff,Douglas Rushkoff
http://dbpedia.org/resource/Echo_Heron,Echo Heron
http://dbpedia.org/resource/Ed_Diener,Ed Diener
http://dbpedia.org/resource/Frank_Waters,Frank Waters
http://dbpedia.org/resource/Ginn_Hale,Ginn Hale
http://dbpedia.org/resource/Hank_Reinhardt,Hank Reinhardt
http://dbpedia.org/resource/Hank_Reinhardt,Julius Henry Reinhardt
http://dbpedia.org/resource/Hilton_Als,Hilton Als
http://dbpedia.org/resource/Janet_Burroway,Janet Burroway
http://dbpedia.org/resource/Jeff_Rivera,Jeff Rivera
http://dbpedia.org/resource/Jeffrey_McClanahan,Jeffrey McClanahan
http://dbpedia.org/resource/Jennifer_Militello,Jennifer Militello
http://dbpedia.org/resource/Joe_Amato_(poet),Joe Amato
http://dbpedia.org/resource/Joel_Selvin,Joel Selvin
http://dbpedia.org/resource/John_Ramsey_Miller,John Ramsey Miller
http://dbpedia.org/resource/John_Shannon_(novelist),John Shannon
http://dbpedia.org/resource/Joseph_Monninger,Joseph Monninger
http://dbpedia.org/resource/Joseph_Monninger,Joseph Lorraine Monninger
http://dbpedia.org/resource/K._Tempest_Bradford,K. Tempest Bradford
http://dbpedia.org/resource/Karla_Kuskin,Karla Kuskin
http://dbpedia.org/resource/Katy_Munger,Katy Munger
http://dbpedia.org/resource/Kristen_Iversen,Kristen Iversen
http://dbpedia.org/resource/Kristopher_Reisz,Kristopher Reisz
"http://dbpedia.org/resource/L._Martin_Griffin,_Jr.","L. Martin Griffin, Jr."
http://dbpedia.org/resource/Lettie_Teague,Lettie Teague
http://dbpedia.org/resource/Linnea_Sinclair,Linnea Sinclair
http://dbpedia.org/resource/Maggie_Stiefvater,Maggie Stiefvater
http://dbpedia.org/resource/Marjorie_Liu,Marjorie Liu
http://dbpedia.org/resource/Mark_Coggins,Mark Coggins
http://dbpedia.org/resource/Mark_Crilley,Mark Crilley
http://dbpedia.org/resource/Mark_William_Shaw,Mark William Shaw
http://dbpedia.org/resource/Mary_Jane_Auch,Mary Jane Auch
http://dbpedia.org/resource/Mary_Jane_Auch,MJ Auch
http://dbpedia.org/resource/Michael_Paul_Mason,Michael Paul Mason
http://dbpedia.org/resource/Michelle_Belanger,Michelle Belanger
http://dbpedia.org/resource/Nick_Hanauer,Nick Hanauer
http://dbpedia.org/resource/Parnell_Hall_(writer),Parnell Hall
http://dbpedia.org/resource/Patrick_Ness,Patrick Ness
http://dbpedia.org/resource/Perry_Deane_Young,Perry Deane Young
http://dbpedia.org/resource/Playing_with_the_Enemy,Gary W. Moore
http://dbpedia.org/resource/Robin_Goldstein,Robin Goldstein
http://dbpedia.org/resource/Ron_Roy,Ron Roy
http://dbpedia.org/resource/Ron_Terpening,Ron Terpening
http://dbpedia.org/resource/Ronald_Kelly,Ronald Kelly
http://dbpedia.org/resource/Seanan_McGuire,Seanan McGuire
http://dbpedia.org/resource/Seth_Grahame-Smith,Seth Grahame-Smith
http://dbpedia.org/resource/Tanuja_Desai_Hidier,Tanuja Desai Hidier
http://dbpedia.org/resource/Thomas_Hager,Thomas Hager
http://dbpedia.org/resource/Vicki_Pettersson,Vicki Pettersson
http://dbpedia.org/resource/George_M._Fredrickson,George M. Fredrickson
http://dbpedia.org/resource/Ian_Brennan_(writer),Ian Brennan
http://dbpedia.org/resource/Adolph_Murie,Adolph Murie
http://dbpedia.org/resource/Barbara_Stephens_(journalist),Barbara Stephens
http://dbpedia.org/resource/Bernard_McConville,Bernard McConville
http://dbpedia.org/resource/Blakey_Vermeule,Blakey Vermeule
http://dbpedia.org/resource/Bobby_Farrelly,Bobby Farrelly
http://dbpedia.org/resource/Brian_Leung_(author),Brian Leung
http://dbpedia.org/resource/Bryan_Burrough,Bryan Burrough
http://dbpedia.org/resource/Bud_Sparhawk,Bud Sparhawk
http://dbpedia.org/resource/Carolyn_Sherwin_Bailey,Carolyn Sherwin Bailey
http://dbpedia.org/resource/Carson_McCullers,Carson McCullers
http://dbpedia.org/resource/Christopher_Barzak,Christopher Barzak
http://dbpedia.org/resource/Daniel_Warner_(artist),Daniel Warner
http://dbpedia.org/resource/David_Cryer,David Cryer
http://dbpedia.org/resource/Douglas_A._Blackmon,Douglas A. Blackmon
http://dbpedia.org/resource/Elizabeth_Williams_Champney,Elizabeth Williams Champney
http://dbpedia.org/resource/Eric_Schlosser,Eric Schlosser
http://dbpedia.org/resource/Frances_Fuller_Victor,Frances Fuller Victor
http://dbpedia.org/resource/Gary_Blackwood_(author),Gary Blackwood
http://dbpedia.org/resource/Jack_Cunningham_(screenwriter),Jack Cunningham
http://dbpedia.org/resource/Jack_Matthews_(author),Jack Matthews
http://dbpedia.org/resource/Jack_Matthews_(author),Jack Matthews (John Harold Matthews)
http://dbpedia.org/resource/Jack_Townley,Jack Townley
http://dbpedia.org/resource/Jeffrey_R._Di_Leo,Jeffrey R. Di Leo
http://dbpedia.org/resource/Jimmy_Breslin,Jimmy Breslin
http://dbpedia.org/resource/Kevin_Canty_(author),Kevin Canty
http://dbpedia.org/resource/Lee_Rogers_(podiatrist),Lee Rogers
http://dbpedia.org/resource/Louis_Booker_Wright,Louis Booker Wright
http://dbpedia.org/resource/Lynne_Barasch,Lynne Barasch
http://dbpedia.org/resource/Maggie_Anderson,Maggie Anderson
http://dbpedia.org/resource/Manuel_Muñoz_(writer),Manuel Muñoz
http://dbpedia.org/resource/Maxwell_Geismar,Maxwell Geismar
http://dbpedia.org/resource/Michael_Greenberg_(writer),Michael Greenberg
http://dbpedia.org/resource/Mike_McQuay,Mike McQuay
http://dbpedia.org/resource/Olaus_Murie,Olaus Murie
http://dbpedia.org/resource/Olaus_Murie,Olaus J. Murie
http://dbpedia.org/resource/Oscar_Harger,Oscar Harger
http://dbpedia.org/resource/Paul_Fussell,Paul Fussell
http://dbpedia.org/resource/Paul_Gangelin,Paul Gangelin
http://dbpedia.org/resource/Phil_Farrand,Phil Farrand
http://dbpedia.org/resource/Phyllis_McGinley,Phyllis McGinley
http://dbpedia.org/resource/Robert_Bernard_Martin,Robert Bernard Martin
http://dbpedia.org/resource/Roi_Ottley,Roi Ottley
http://dbpedia.org/resource/Ruchoma_Shain,Ruchoma Shain
http://dbpedia.org/resource/Samuel_Crowther_(journalist),Samuel Crowther
http://dbpedia.org/resource/Sherwin_Bitsui,Sherwin Bitsui
http://dbpedia.org/resource/Suzanne_Collins,Suzanne Collins
http://dbpedia.org/resource/Thomas_Gifford,Thomas Gifford
http://dbpedia.org/resource/Thomas_McGuane,Thomas McGuane
http://dbpedia.org/resource/Tom_McHale_(novelist_born_1902),Tom McHale
http://dbpedia.org/resource/Tom_McHale_(novelist_born_1941),Tom McHale
http://dbpedia.org/resource/Victor_Séjour,Victor Séjour
http://dbpedia.org/resource/Viña_Delmar,Viña Delmar
http://dbpedia.org/resource/William_Goodell_(abolitionist),William Goodell
http://dbpedia.org/resource/William_Marchant_(playwright),William Marchant
http://dbpedia.org/resource/Eve_Kosofsky_Sedgwick,Eve Kosofsky Sedgwick
http://dbpedia.org/resource/Malcolm_Cowley,Malcolm Cowley
http://dbpedia.org/resource/Mike_Wallace_(historian),Mike Wallace
http://dbpedia.org/resource/Richard_Bulliet,Richard Bulliet
http://dbpedia.org/resource/Richard_Bulliet,Richard W. Bulliet
http://dbpedia.org/resource/Walter_R._Brooks,Walter R. Brooks
http://dbpedia.org/resource/Alex_Finlayson,Alex Finlayson
http://dbpedia.org/resource/Dan_Moldea,Dan Moldea
http://dbpedia.org/resource/Dan_Moldea,Dan E. Moldea
http://dbpedia.org/resource/Henry_Clay_Lewis,Henry Clay Lewis
http://dbpedia.org/resource/James_Vanderbilt,James Vanderbilt
http://dbpedia.org/resource/Robert_T._Oliver,Robert T. Oliver
http://dbpedia.org/resource/Stanwood_Cobb,Stanwood Cobb
http://dbpedia.org/resource/Stephanie_Grace_Whitson,Stephanie Grace Whitson
http://dbpedia.org/resource/Suzanne_Weyn,Suzanne Weyn
http://dbpedia.org/resource/Tom_Drury,Tom Drury
http://dbpedia.org/resource/Agnes_Sligh_Turnbull,Agnes Sligh Turnbull
http://dbpedia.org/resource/Alexander_Posey,Alexander Posey
http://dbpedia.org/resource/Allison_Hedge_Coke,Allison Hedge Coke
http://dbpedia.org/resource/Allison_Hedge_Coke,Allison Adelle Hedge Coke
http://dbpedia.org/resource/Annie_Finch,Annie Finch
http://dbpedia.org/resource/Austin_Tappan_Wright,Austin Tappan Wright
http://dbpedia.org/resource/Basil_Dickey,Basil Dickey
http://dbpedia.org/resource/Bruce_Kiskaddon,Bruce Kiskaddon
http://dbpedia.org/resource/Bruce_M._Bailey,Bruce M. Bailey
http://dbpedia.org/resource/Charles_Ritcheson,Charles Ritcheson
http://dbpedia.org/resource/Donald_Corley,Donald Corley
http://dbpedia.org/resource/Elizabeth_Engstrom,Elizabeth Engstrom
http://dbpedia.org/resource/Ernest_Pagano,Ernest Pagano
http://dbpedia.org/resource/Eugene_Schuyler,Eugene Schuyler
http://dbpedia.org/resource/Frank_Asch,Frank Asch
http://dbpedia.org/resource/Frank_E._Woods,Frank E. Woods
http://dbpedia.org/resource/Frederic_M._Wheelock,Frederic M. Wheelock
http://dbpedia.org/resource/Gale_Wilhelm,Gale Wilhelm
http://dbpedia.org/resource/Grace_Andreacchi,Grace Andreacchi
http://dbpedia.org/resource/Grover_Jones,Grover Jones
http://dbpedia.org/resource/Hal_Yates,Hal Yates
http://dbpedia.org/resource/Harvey_Gates,Harvey Gates
http://dbpedia.org/resource/Henry_Beard,Henry N. Beard
http://dbpedia.org/resource/Hubert_Skidmore,Hubert Skidmore
http://dbpedia.org/resource/Jennifer_Grotz,Jennifer Grotz
http://dbpedia.org/resource/Jennifer_K_Dick,Jennifer K Dick
http://dbpedia.org/resource/Jerry_Bridges,Jerry Bridges
http://dbpedia.org/resource/Joseph_F._Poland,Joseph F. Poland
http://dbpedia.org/resource/M._Shayne_Bell,M. Shayne Bell
http://dbpedia.org/resource/Marco_Pennette,Marco Pennette
http://dbpedia.org/resource/Marie_Rodell,Marie Rodell
http://dbpedia.org/resource/Mark_Rosenthal,Mark Rosenthal
http://dbpedia.org/resource/Mark_Saxton,Mark Saxton
http://dbpedia.org/resource/Mary_Jane_Holmes,Mary Jane Holmes
http://dbpedia.org/resource/Matthew_B._Brown,Matthew B. Brown
http://dbpedia.org/resource/Max_Apple,Max Apple
http://dbpedia.org/resource/Nila_northSun,Nila northSun
http://dbpedia.org/resource/Nila_northSun,nila northSun
http://dbpedia.org/resource/Norman_L._Richardson,Norman L. Richardson
http://dbpedia.org/resource/Norman_L._Richardson,Norman Lee Richardson
http://dbpedia.org/resource/Robbie_Branscum,Robbie Branscum
http://dbpedia.org/resource/Sanora_Babb,Sanora Babb
http://dbpedia.org/resource/Stanner_E.V._Taylor,Stanner E.V. Taylor
http://dbpedia.org/resource/Tee_Morris,Tee Morris
http://dbpedia.org/resource/Tee_Morris,"Thomas Earl ""Tee"" Morris"
http://dbpedia.org/resource/Vera_Williams,Vera Williams
http://dbpedia.org/resource/William_Cowper_Prime,William Cowper Prime
http://dbpedia.org/resource/William_E._Wing,William E. Wing
http://dbpedia.org/resource/William_L._Manly,William L. Manly
http://dbpedia.org/resource/Bill_Branon,Bill Branon
http://dbpedia.org/resource/Dennis_Hopeless,Dennis Hopeless
http://dbpedia.org/resource/Eli_Waldron,Eli Waldron
http://dbpedia.org/resource/Adam_Rittenberg,Steven Downes
http://dbpedia.org/resource/Adam_Rittenberg,Adam Rittenberg
http://dbpedia.org/resource/Alonzo_Delano,Alonzo Delano
http://dbpedia.org/resource/Alphie_McCourt,Alphie McCourt
http://dbpedia.org/resource/Bob_Leach,Bob Leach
http://dbpedia.org/resource/Bob_Leach,Robert Warnes Leach
http://dbpedia.org/resource/Cooper_Edens,Cooper Edens
http://dbpedia.org/resource/Don_Brown_(author),Don Brown
http://dbpedia.org/resource/Edward_Cornell,Edward Cornell
http://dbpedia.org/resource/Gary_Miranda,Gary Miranda
http://dbpedia.org/resource/Jo_Whittemore,Jo Whittemore
http://dbpedia.org/resource/Ken_Shakin,Ken Shakin
http://dbpedia.org/resource/Lars_Pearson,Lars Pearson
http://dbpedia.org/resource/Phillip_Hoose,Phillip Hoose
http://dbpedia.org/resource/Scott_Nimerfro,Scott Nimerfro
http://dbpedia.org/resource/Brian_d'Arcy_James,Brian d'Arcy James
http://dbpedia.org/resource/Chuck_Pfarrer,Chuck Pfarrer
http://dbpedia.org/resource/Darin_Strauss,Darin Strauss
http://dbpedia.org/resource/J._R._Clifford,J. R. Clifford
http://dbpedia.org/resource/J._R._Clifford,John Robert Clifford
http://dbpedia.org/resource/J._Steven_York,J. Steven York
http://dbpedia.org/resource/Jessica_Bird,Jessica Bird
http://dbpedia.org/resource/Jessica_Bird,Jessica Rowley Pell Bird Blakemore
http://dbpedia.org/resource/Jim_Butcher,Jim Butcher
http://dbpedia.org/resource/Jim_Mullaney,Jim Mullaney
http://dbpedia.org/resource/John_C._Maxwell,John C. Maxwell
http://dbpedia.org/resource/Kim_Wozencraft,Kim Wozencraft
http://dbpedia.org/resource/Laurel_Snyder,Laurel Snyder
http://dbpedia.org/resource/Paul_Rudnick,Paul Rudnick
http://dbpedia.org/resource/Al_Sarrantonio,Al Sarrantonio
http://dbpedia.org/resource/Andy_Duncan_(writer),Andy Duncan
http://dbpedia.org/resource/Ann_Maxwell,Ann Maxwell
http://dbpedia.org/resource/Ann_Maxwell,Ann Charters Maxwell
http://dbpedia.org/resource/Blair_Mastbaum,Blair Mastbaum
http://dbpedia.org/resource/Brad_Steiger,Brad Steiger
http://dbpedia.org/resource/Carter_Revard,Carter Revard
http://dbpedia.org/resource/Charlaine_Harris,Charlaine Harris
http://dbpedia.org/resource/Charlaine_Harris,Charlaine Harris Schulz
http://dbpedia.org/resource/Charlie_LeDuff,Charlie LeDuff
http://dbpedia.org/resource/Charlotte_Zolotow,Charlotte Zolotow
http://dbpedia.org/resource/Christine_Feehan,Christine Feehan
http://dbpedia.org/resource/Christine_Feehan,Christine King Feehan
http://dbpedia.org/resource/Christopher_McKitterick,Christopher McKitterick
http://dbpedia.org/resource/Christopher_Paul_Curtis,Christopher Paul Curtis
http://dbpedia.org/resource/Damon_DiMarco,Damon DiMarco
http://dbpedia.org/resource/Daniel_Abraham_(author),Daniel Abraham
http://dbpedia.org/resource/David_Ebershoff,David Ebershoff
http://dbpedia.org/resource/David_Greenberger,David Greenberger
http://dbpedia.org/resource/David_Petersen_(comics),David Petersen
http://dbpedia.org/resource/David_Petersen_(comics),David E. Petersen
http://dbpedia.org/resource/David_Wiesner,David Wiesner
http://dbpedia.org/resource/Deb_Caletti,Deb Caletti
http://dbpedia.org/resource/Diane_Fanning,Diane Fanning
http://dbpedia.org/resource/Don_Maitz,Don Maitz
http://dbpedia.org/resource/Elizabeth_Gilbert,Elizabeth Gilbert
http://dbpedia.org/resource/Elizabeth_Levy,Elizabeth Levy
http://dbpedia.org/resource/Emily_Giffin,Emily Giffin
http://dbpedia.org/resource/Felice_Picano,Felice Picano
http://dbpedia.org/resource/Fern_Michaels,Fern Michaels
http://dbpedia.org/resource/Fern_Michaels,Mary Ruth Kuczkir
http://dbpedia.org/resource/Garth_Stein,Garth Stein
http://dbpedia.org/resource/Glenn_Greenwald,Glenn Greenwald
http://dbpedia.org/resource/Helen_Andelin,Helen Andelin
http://dbpedia.org/resource/Henry_Wiencek,Henry Wiencek
http://dbpedia.org/resource/Hugh_Aynesworth,Hugh Aynesworth
http://dbpedia.org/resource/J._Timothy_Hunt,J. Timothy Hunt
http://dbpedia.org/resource/J._Timothy_Hunt,James Timothy Hunt
http://dbpedia.org/resource/Jack_Ketchum,Jack Ketchum
http://dbpedia.org/resource/Janet_Kagan,Janet Kagan
http://dbpedia.org/resource/Jason_Webster_(author),Jason Webster
http://dbpedia.org/resource/Jeffrey_E._Barlough,Jeffrey E. Barlough
